2015-12-16 00:49:17,946 [Worker-106] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hiring.tomcat:com.hiring.tomcat:0.0.1-SNAPSHOT @ /home/lucky/Documents/practice/com.hiring.tomcat/pom.xml.
2015-12-16 00:49:20,567 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 00:49:20,568 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-16 00:49:20,576 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 00:49:20,576 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-16 00:49:21,035 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 00:49:21,036 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-16 00:49:21,037 [Worker-106] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 00:49:21,040 [Worker-106] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-17 10:11:01,959 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hiring.tomcat:com.hiring.tomcat:0.0.1-SNAPSHOT @ /home/lucky/Documents/practice/com.hiring.tomcat/pom.xml.
2015-12-17 10:11:08,649 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-17 10:11:08,654 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-17 10:11:08,673 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-17 10:11:08,674 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-18 08:44:01,731 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hiring.tomcat:com.hiring.tomcat:0.0.1-SNAPSHOT @ /home/lucky/Documents/practice/com.hiring.tomcat/pom.xml.
2015-12-18 08:44:10,496 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-18 08:44:10,497 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-18 08:44:10,500 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-18 08:44:10,501 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-19 20:59:25,501 [Worker-475] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for com.hiring.tomcat
2015-12-19 20:59:28,628 [Worker-475] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-19 20:59:28,719 [Worker-475] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-19 20:59:28,758 [Worker-475] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-19 20:59:28,758 [Worker-475] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-19 20:59:28,759 [Worker-475] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of com.hiring.tomcat
2015-12-19 20:59:28,797 [Worker-475] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for com.hiring.tomcat
2015-12-19 20:59:29,901 [Worker-475] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-19 23:20:39,746 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-19 23:20:39,780 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-19 23:20:39,783 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-19 23:20:39,783 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-24 08:48:50,089 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-24 08:48:50,108 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2015-12-24 08:48:50,111 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-24 08:48:50,111 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2015-12-24 15:35:42,280 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
